iter	Accuracy	Logloss
225	0.8546373174	0.3128977978
226	0.8549269486	0.3126693367
227	0.8550878548	0.3124762631
228	0.8553453048	0.3122642337
229	0.8554418485	0.3121273309
230	0.8554096672	0.3118430732
231	0.8556027547	0.311775575
232	0.8558923859	0.3115854693
233	0.8560532921	0.3114281956
234	0.8559889297	0.3114012407
235	0.8562463796	0.3113269359
236	0.8563429233	0.311204693
237	0.8563429233	0.3112024456
238	0.8563751046	0.3110207068
239	0.8563107421	0.3108643637
240	0.8564394671	0.310739688
241	0.8563751046	0.3106408908
242	0.8566325545	0.3104403
243	0.8571152732	0.3102844065
244	0.8570509107	0.3101880147
245	0.8571474545	0.3101389871
246	0.8574692669	0.3100274521
247	0.8576301731	0.3098960916
248	0.8577267169	0.3096485852
249	0.8577267169	0.309478828
250	0.8577267169	0.3094788228
251	0.8577588981	0.309378787
252	0.8575979919	0.3092051716
253	0.8575979919	0.309205168
254	0.8578232606	0.3090495599
255	0.8580163481	0.3090220214
256	0.8578876231	0.308928742
257	0.8580163481	0.3088432481
258	0.8582416168	0.3086697936
259	0.8582416168	0.3085917001
260	0.8583381605	0.3084826861
261	0.8585956105	0.3082261311
262	0.8587565167	0.3081155341
263	0.8586921542	0.3080508834
264	0.8586277917	0.3079211939
265	0.8588208792	0.3078394561
266	0.8586277917	0.3077257791
267	0.8588530604	0.3075674413
268	0.8588530604	0.307465576
269	0.8590783291	0.3073593455
270	0.8593679604	0.3072439075
271	0.8594001416	0.3071016506
272	0.8593679604	0.3070423413
273	0.8594966853	0.3068859262
274	0.8594645041	0.3067887745
275	0.8595610478	0.3066554205
276	0.8599472228	0.3064749595
277	0.8600759477	0.3063757884
278	0.8602046727	0.3062795639
279	0.8601724915	0.306241016
280	0.8602690352	0.3060501594
281	0.8603012165	0.3058534814
282	0.8602690352	0.3057416601
283	0.8601724915	0.3056354076
284	0.8602690352	0.3055314608
285	0.8602690352	0.3054123405
286	0.860236854	0.3052681081
287	0.860236854	0.3052068107
288	0.8605264852	0.305039013
289	0.8606230289	0.3049305796
290	0.8603012165	0.3047683991
291	0.8605586664	0.3046588846
292	0.8607839351	0.3045267641
293	0.8608161164	0.3043793501
294	0.8609448413	0.3042594215
295	0.8610735663	0.3041491662
296	0.8610413851	0.304033543
297	0.8611379288	0.3039351126
298	0.861298835	0.3037609644
299	0.8613631975	0.3036336646
300	0.8615241038	0.3034623009
301	0.8614919225	0.3033844016
302	0.861556285	0.3032638011
303	0.8616528287	0.3031192181
304	0.8617171912	0.3030227268
305	0.861813735	0.3029246916
306	0.8621033662	0.3027321408
307	0.8622320911	0.3025861946
308	0.8623929974	0.3024710668
309	0.8623286349	0.302382243
310	0.8623608161	0.3022728691
311	0.8623929974	0.3021828604
312	0.8623286349	0.3021574734
313	0.8622320911	0.3020302398
314	0.8623608161	0.3019586843
315	0.8623608161	0.3019052207
316	0.8624251786	0.3018292433
317	0.8624251786	0.301730916
318	0.8624573599	0.3016894474
319	0.8624573599	0.3015800344
320	0.8627469911	0.3014495964
321	0.8628113535	0.3012667479
322	0.8630366223	0.3010850109
323	0.863004441	0.3009761651
324	0.863133166	0.3008221645
325	0.8630688035	0.300731154
326	0.8633262535	0.3006410609
327	0.863261891	0.3005672486
328	0.8631653472	0.3004768263
329	0.8632940722	0.300317391
330	0.8634871597	0.3002181423
331	0.8635193409	0.300154075
332	0.8636802472	0.300060108
333	0.8637446096	0.299951032
334	0.8636158847	0.2998731713
335	0.8636802472	0.2997615977
336	0.8635837034	0.2996691063
337	0.8637124284	0.2995229452
338	0.8639376971	0.2993944225
339	0.8641629658	0.2992172286
340	0.8642595096	0.2991017709
341	0.8642595096	0.29902045
342	0.8645169595	0.2989292416
343	0.8645491408	0.2988505544
344	0.864452597	0.2987788766
345	0.8644204158	0.2987318991
346	0.8646135033	0.298568872
347	0.8644847783	0.2985157577
348	0.864581322	0.2983471898
349	0.8646456845	0.298260023
350	0.8646135033	0.298240644
351	0.8649353157	0.2981265461
352	0.8651605844	0.2979807788
353	0.8652571281	0.2978439443
354	0.8654180344	0.2976669084
355	0.8654502156	0.2975867854
356	0.8654502156	0.2974898652
357	0.8656754843	0.2973428145
358	0.8657398468	0.297200954
359	0.8657398468	0.2971374794
360	0.8657076656	0.2970648713
361	0.8657076656	0.2969369687
362	0.8660938405	0.2967540562
363	0.866415653	0.2965903078
364	0.8663834717	0.2965340654
365	0.8663834717	0.2964454537
366	0.8664478342	0.2964162562
367	0.8664800154	0.2962669806
368	0.8664800154	0.2961454999
369	0.8666087404	0.2959599093
370	0.8666409217	0.2958912253
371	0.8668983716	0.2957080215
372	0.8668661904	0.2956134991
373	0.8671236403	0.2954591352
374	0.8672201841	0.2953228834
375	0.8672845466	0.2951458505
376	0.8675419965	0.2950679047
377	0.8675098153	0.2949486061
378	0.8675419965	0.2947826683
379	0.8677029027	0.294676506
380	0.8675098153	0.2945710585
381	0.8675419965	0.2945060832
382	0.867606359	0.294385783
383	0.8676707215	0.2943069635
384	0.8678959902	0.2942318461
385	0.8679603527	0.2941440473
386	0.8679603527	0.2940416979
387	0.8677672652	0.2940171196
388	0.8677029027	0.2938856273
389	0.8677672652	0.2937480055
390	0.8677672652	0.2936854754
391	0.8678316277	0.2936119
392	0.8678316277	0.2935081264
393	0.8680247152	0.2933761826
394	0.8679281715	0.293325789
395	0.8683787089	0.2932857573
396	0.8684430714	0.2932090907
397	0.8684430714	0.2931573262
398	0.8683787089	0.2930547731
399	0.8683465276	0.292978389
400	0.8685396151	0.2929174302
401	0.8685396151	0.2927395058
402	0.8685396151	0.2926363515
403	0.8685717964	0.2924937942
404	0.8686361588	0.2924043665
405	0.8686683401	0.2923406068
406	0.8688936088	0.2922585533
407	0.8689901525	0.2921337469
408	0.8691510588	0.2919115049
409	0.8691510588	0.2919030273
410	0.8690866963	0.2918262023
411	0.8691510588	0.2916984104
412	0.8692476025	0.2915759513
413	0.8692797837	0.2914485505
414	0.8692476025	0.2913816247
415	0.8692476025	0.2913156958
416	0.8694728712	0.2911833462
417	0.8696015962	0.2909731978
418	0.8695050525	0.2909282851
419	0.8696659587	0.2907736629
420	0.8696337774	0.29070728
421	0.8698268649	0.290611709
422	0.8698590461	0.2904912273
423	0.8700199524	0.2903938892
424	0.8701164961	0.2902756004
425	0.8702130398	0.2901784031
426	0.8702452211	0.2900184506
427	0.8703739461	0.2899185132
428	0.8703095836	0.289808004
429	0.8703739461	0.289780843
430	0.8703417648	0.2896710216
431	0.8705348523	0.2895576253
432	0.8705670335	0.2894681716
433	0.8705670335	0.2894014189
434	0.8707923022	0.2892974367
435	0.870888846	0.2892083815
436	0.870760121	0.2890660645
437	0.8707923022	0.2889857086
438	0.8706957585	0.2888963129
439	0.8708244835	0.2887736069
440	0.870631396	0.2886928484
441	0.870760121	0.288635109
442	0.8707923022	0.2884573696
443	0.8708244835	0.2884273893
444	0.871017571	0.2883593919
445	0.871017571	0.2883510221
446	0.8711141147	0.288253227
