iter	Passed	Remaining
468	5099	3598
469	5110	3588
470	5122	3577
471	5134	3568
472	5148	3559
473	5160	3549
474	5173	3539
475	5185	3529
476	5199	3520
477	5210	3510
478	5224	3500
479	5235	3490
480	5247	3479
481	5259	3470
482	5272	3460
483	5283	3449
484	5296	3440
485	5309	3430
486	5321	3420
487	5332	3409
488	5346	3400
489	5357	3389
490	5369	3379
491	5381	3368
492	5393	3358
493	5405	3348
494	5418	3338
495	5431	3329
496	5443	3318
497	5454	3307
498	5466	3297
499	5477	3286
500	5492	3277
501	5504	3267
502	5518	3258
503	5532	3249
504	5546	3240
505	5558	3229
506	5570	3219
507	5581	3208
508	5595	3198
509	5608	3189
510	5620	3178
511	5632	3168
512	5643	3157
513	5654	3146
514	5668	3136
515	5679	3126
516	5693	3116
517	5707	3106
518	5720	3097
519	5732	3086
520	5745	3076
521	5757	3066
522	5769	3055
523	5780	3044
524	5792	3034
525	5803	3023
526	5816	3013
527	5829	3003
528	5841	2992
529	5854	2982
530	5867	2972
531	5880	2962
532	5893	2952
533	5906	2942
534	5919	2932
535	5932	2921
536	5945	2911
537	5958	2901
538	5971	2891
539	5984	2881
540	5997	2871
541	6009	2860
542	6015	2847
543	6027	2836
544	6040	2826
545	6053	2815
546	6064	2805
547	6077	2794
548	6090	2784
549	6102	2773
550	6113	2762
551	6124	2751
552	6137	2741
553	6150	2731
554	6162	2720
555	6175	2709
556	6186	2698
557	6200	2689
558	6213	2678
559	6225	2668
560	6237	2657
561	6251	2647
562	6262	2636
563	6277	2626
564	6290	2616
565	6302	2605
566	6315	2595
567	6328	2584
568	6339	2573
569	6353	2563
570	6364	2552
571	6376	2541
572	6388	2530
573	6400	2520
574	6413	2509
575	6426	2499
576	6436	2487
577	6449	2477
578	6460	2466
579	6471	2454
580	6481	2443
581	6495	2433
582	6508	2422
583	6521	2412
584	6533	2401
585	6546	2390
586	6558	2379
587	6569	2368
588	6581	2357
589	6593	2346
590	6604	2335
591	6617	2325
592	6630	2314
593	6643	2303
594	6654	2292
595	6667	2282
596	6678	2270
597	6691	2260
598	6704	2249
599	6718	2239
600	6730	2228
601	6743	2217
602	6754	2206
603	6766	2195
604	6778	2184
605	6791	2174
606	6801	2162
607	6813	2151
608	6825	2140
609	6838	2130
610	6849	2118
611	6862	2108
612	6874	2097
613	6885	2085
614	6896	2074
615	6909	2063
616	6921	2052
617	6933	2041
618	6944	2030
619	6956	2019
620	6969	2008
621	6983	1998
622	6993	1986
623	7000	1974
624	7011	1963
625	7022	1951
626	7034	1940
627	7045	1929
628	7058	1919
629	7070	1907
630	7083	1897
631	7095	1886
632	7106	1874
633	7118	1863
634	7128	1852
635	7140	1841
636	7152	1830
637	7164	1819
638	7174	1807
639	7186	1796
640	7199	1785
641	7212	1775
642	7224	1764
643	7235	1752
644	7248	1741
645	7259	1730
646	7271	1719
647	7283	1708
648	7295	1697
649	7307	1686
650	7319	1675
651	7329	1663
652	7341	1652
653	7354	1641
654	7366	1630
655	7378	1619
656	7391	1608
657	7403	1597
658	7414	1586
659	7426	1575
660	7439	1564
661	7449	1553
662	7462	1541
663	7472	1530
664	7483	1519
665	7495	1508
666	7509	1497
667	7521	1486
668	7533	1475
669	7543	1463
670	7555	1452
671	7566	1441
672	7579	1430
673	7590	1418
674	7602	1407
675	7613	1396
676	7626	1385
677	7638	1374
678	7651	1363
679	7663	1352
680	7675	1341
681	7685	1329
682	7698	1318
683	7710	1307
684	7722	1296
685	7733	1285
686	7745	1274
687	7757	1262
688	7771	1252
689	7784	1240
690	7796	1229
691	7808	1218
692	7819	1207
693	7830	1196
694	7842	1184
695	7853	1173
696	7867	1162
697	7877	1151
698	7890	1140
699	7902	1128
700	7914	1117
701	7927	1106
702	7939	1095
703	7952	1084
704	7965	1073
705	7975	1061
706	7988	1050
707	7999	1039
708	8013	1028
709	8024	1017
710	8036	1005
711	8047	994
712	8058	983
713	8071	972
714	8083	960
715	8096	949
716	8107	938
717	8120	927
718	8134	916
719	8143	904
720	8156	893
721	8168	882
722	8180	871
723	8192	859
724	8204	848
725	8217	837
726	8229	826
727	8243	815
728	8255	804
729	8266	792
730	8279	781
731	8289	770
732	8302	758
733	8313	747
734	8325	736
735	8338	725
736	8349	713
737	8360	702
738	8373	691
739	8386	679
740	8399	668
741	8411	657
742	8422	646
743	8434	634
744	8447	623
745	8460	612
746	8472	601
747	8484	589
748	8496	578
749	8505	567
750	8519	555
751	8531	544
752	8544	533
753	8556	522
754	8567	510
755	8577	499
756	8589	487
757	8601	476
758	8614	465
759	8627	454
760	8639	442
761	8651	431
762	8663	420
763	8675	408
764	8687	397
765	8699	386
766	8713	374
767	8725	363
768	8735	352
769	8747	340
770	8758	329
771	8772	318
772	8782	306
773	8794	295
774	8806	284
775	8817	272
776	8829	261
777	8841	250
778	8853	238
779	8866	227
780	8878	215
781	8890	204
782	8902	193
783	8914	181
784	8924	170
785	8937	159
786	8948	147
787	8960	136
788	8973	125
789	8984	113
790	8997	102
791	9007	90
792	9020	79
793	9032	68
794	9046	56
795	9057	45
796	9068	34
797	9080	22
798	9091	11
799	9103	0
